,food_id,food_group,food_subgroup,name_scientific,description
159,202,Grains,Peas,Vigna unguiculata,"The cowpea (Vigna unguiculata) is one of several species of the widely cultivated genus Vigna. Four subspecies are recognised, of which three are cultivated: Vigna unguiculata subsp. dekindtiana, the wild relative of the cultivated subspecies Vigna unguiculata subsp. cylindrica, cultivated, catjang Vigna unguiculata subsp. sesquipedalis, cultivated, yardlong beans Vigna unguiculata subsp. unguiculata, cultivated, black-eyed pea Cowpeas are one of the most important food legume crops in the semiarid tropics covering Asia, Africa, southern Europe and Central and South America. A drought-tolerant and warm-weather crop, cowpeas are well-adapted to the drier regions of the tropics, where other food legumes do not perform well. It also has the useful ability to fix atmospheric nitrogen through its root nodules, and it grows well in poor soils with more than 85% sand and with less than 0.2% organic matter and low levels of phosphorus. In addition, it is shade tolerant, so is compatible as an intercrop with maize, millet, sorghum, sugarcane, and cotton. This makes cowpeas an important component of traditional intercropping systems, especially in the complex and elegant subsistence farming systems of the dry savannas in sub-Saharan Africa. In these systems the haulm (dried stalks) of cowpea is a valuable by-product, used as animal feed. Research in Ghana found that selecting early generations of cowpea crops to increase yield is not an effective strategy. Francis Padi from the Savannah Agricultural Research Institute in Tamale, Ghana, writing in Crop Science, suggests other methods such as bulk breeding are more efficient in developing high-yield varieties. Cowpeas are a common food item in the Southern United States, where they are often called black-eyed peas or field peas. Two subcategories of field peas are crowder peas, so called because they are crowded together in their pods, causing them to have squarish ends, and cream peas. In India, in Oriya, it is called jhudunga, in Bengali, it is called barboti kolai, in Kannada, it is called Alasande, in Telugu, it is called Alasandalu, Bobbarlu. In Hindi, it is called lobhia or bura (when used as a string bean). In Gujarati, these are called chola or chowla. In Marathi, these are called chawali or chavali. According to the USDA food database, the leaves of the cowpea plant have the highest percentage of calories from protein among vegetarian foods."
160,204,Fruits,Berries,Vitis vinifera,"Vitis vinifera (Common Grape Vine) is a species of Vitis, native to the Mediterranean region, central Europe, and southwestern Asia, from Morocco and Portugal north to southern Germany and east to northern Iran. It is a liana growing to 35 yards tall, with flaky bark. The leaves are alternate, palmately lobed, 5–20 cm long and broad. The fruit is a berry, known as a grape; in the wild species it is 6 mm diameter and ripens dark purple to blackish with a pale wax bloom; in cultivated plants it is usually much larger, up to 3 cm long, and can be green, red, or purple (black). The species typically occurs in humid forests and streamsides. The wild grape is often classified as V. vinifera subsp. sylvestris (in some classifications considered Vitis sylvestris), with V. vinifera subsp. vinifera restricted to cultivated forms. Domesticated vines have hermaphrodite flowers, but subsp. sylvestris is dioecious and pollination is required for fruit to develop. The grape is eaten fresh, processed to make wine, or dried to produce raisins. Cultivars of Vitis vinifera form the basis of the majority of wines produced around the world. All of the familiar wine varieties belong to Vitis vinifera, which is cultivated on every continent except for Antarctica, and in all the major wine regions of the world."
161,205,Grains,Cereals,Zea mays,"Maize (mayz; Zea mays subsp. mays, from Spanish: maíz after Taíno mahiz), known in some English-speaking countries as corn, is a large grain plant domesticated by indigenous peoples in Mesoamerica in prehistoric times. The leafy stalk produces ears which contain the grain, which are seeds called kernels. Maize kernels are often used in cooking as a starch."
162,206,Herbs and Spices,Spices,Zingiber officinale,"Ginger or ginger root is the rhizome of the plant Zingiber officinale, consumed as a delicacy, medicine, or spice. It lends its name to its genus and family. Other notable members of this plant family are turmeric, cardamom, and galangal. Ginger cultivation began in South Asia and has since spread to East Africa and the Caribbean."
163,207,Fruits,Berries,Rubus arcticus,"Rubus arcticus, the Arctic raspberry, (includes Rubus arcticus ssp. acaulis - (Michx.)) is a species of slow-growing bramble belonging to the rose family. Its dark red fruit is considered a delicacy. In the Pacific Northwest it is sometimes called the nagoon or nagoonberry, a name which derives from the Tlingit neigóon. A measure of the quality of its fruit is expressed in its Russian name княженика knyazhenika, signifying the ""berry of princes"". It grows in northern Sweden, Norway, Finland, Russia (Siberia), in few locations in Estonia, Lithuania and in parts of North America. The fruits of the Arctic raspberry are very tasty and, among other uses, make jam and liqueur, or flavour tea."
164,208,Fruits,Tropical fruits,Musa acuminata,"A banana is an edible fruit produced by several kinds of large herbaceous flowering plants in the genus Musa. (In some countries, bananas used for cooking may be called plantains.) The fruit is variable in size, color and firmness, but is usually elongated and curved, with soft flesh rich in starch covered with a rind which may be green, yellow, red, purple, or brown when ripe. The fruits grow in clusters hanging from the top of the plant. Almost all modern edible parthenocarpic (seedless) bananas come from two wild species - Musa acuminata and Musa balbisiana. The scientific names of most cultivated bananas are Musa acuminata, Musa balbisiana, and Musa × paradisiaca for the hybrid Musa acuminata × M. balbisiana, depending on their genomic constitution. The old scientific name Musa sapientum is no longer used."
165,214,Vegetables,Root vegetables,Apium graveolens var. rapaceum,"Celeriac (Apium graveolens var. rapaceum), also called turnip-rooted celery or knob celery, is a variety of celery cultivated for its edible roots, hypocotyl, and shoots; these are sometimes collectively (but erroneously) called celery root. Celeriac is a root vegetable with a bulbous hypocotyl. In the Mediterranean Basin and in Northern Europe, celeriac grows wild and is widely cultivated. It is also cultivated in North Africa, Siberia, Southwest Asia, and North America. In North America, the Diamant cultivar predominates. Celeriac originated in the Mediterranean Basin."
166,216,Herbs and Spices,Herbs,Allium tuberosum,"Allium tuberosum, (commonly known as garlic chives, Chinese chives, Oriental garlic, Chinese leek, also known by the Chinese name kow choi (also transliterated as gau choy; Chinese: ??; pinyin: Ji?cài; Wade?Giles: Chiu3-ts'ai4; Jyutping: gau2 coi3), or the Japanese name nira, is a vegetable related to onion. The Chinese name for the species is variously adapted and transliterated as cuchay, jiucai, kucai, kuchay, or kutsay in Southeast Asian countries such as Indonesia, Malaysia and the Philippines. It is also sometimes called ""green nira grass"" where ""nira"" is Romanization of the Japanese word ""??"" which means garlic chives. The plant has a distinctive growth habit with strap-shaped leaves[5] unlike either onion or garlic, and straight thin white-flowering stalks that are much taller than the leaves. The flavor is more like garlic than chives. It grows in slowly expanding perennial clumps, but also readily sprouts from seed. In warmer areas, garlic chives may remain green all year round. In cold climates, aerial parts of garlic chives will die back completely to the ground and the roots/rhizomes will over-winter and then re-sprout in spring time."
167,224,Fruits,Tropical fruits,Dimocarpus longan,"Dimocarpus longan, commonly known as the longan, is a tropical tree that produces edible fruit. It is one of the better-known tropical members of the soapberry family, to which the lychee also belongs. It is native to Southern Asia.
The fruit is sweet, juicy and succulent in superior agricultural varieties and, apart from being eaten fresh, is also often used in East Asian soups, snacks, desserts, and sweet-and-sour foods, either fresh or dried, sometimes canned with syrup. The taste is different from lychees; while longan have a drier sweetness, lychees are often messily juicy with a more tropical, sour sweetness."
168,226,Vegetables,Onion-family vegetables,Allium cepa var. cepa,
169,229,Fruits,Drupes,Prunus persica var. nucipersica,"The variety P. persica var. nucipersica (or var. nectarina), commonly called nectarine, has a smooth skin. It is on occasion referred to as a ""shaved peach"", ""fuzzy-less peach"", ""juicy peach"", or ""Brazilian peach"" due to its lack of fuzz or short hairs. Though fuzzy peaches and nectarines are regarded commercially as different fruits, with nectarines often erroneously believed to be a crossbreed between peaches and plums, or a ""peach with a plum skin"", nectarines belong to the same species as peaches. Several genetic studies have concluded nectarines are produced due to a recessive allele, whereas a fuzzy peach skin is dominant. Nectarines have arisen many times from peach trees, often as bud sports.
As with peaches, nectarines can be white or yellow, and clingstone or freestone. On average, nectarines are slightly smaller and sweeter than peaches, but with much overlap. The lack of skin fuzz can make nectarine skins appear more reddish than those of peaches, contributing to the fruit's plum-like appearance. The lack of down on nectarines' skin also means their skin is more easily bruised than peaches."
